Mat
200
168
166
164
161
134
131
164
149
156
168
125
118
124
117
118
124
120
134
114
115
103
104
121
133
117
104
108
93
128
115
118
105
114
108
90
104
110
116
107
89
101
85
103
113
84
111
72
98
87
83
100
52
110
79
116
82
100
101
78
93
79
79
99
90
79
91
86
77
87
76
78
103
96
102
75
82
84
96
147
90
87
81
77
61
74
75
82
74
131
67
75
102
77
93
78
79
90
62
63
66
81
79
54
70
83
66
113
73
62
48
64
70
79
67
66
95
69
119
59
58
71
68
62
69
56
58
76
63
79
55
70
61
63
71
55
56
51
55
79
52
80
88
62
44
60
108
59
68
60
66
55
57
96
52
59
67
50
58
58
49
46
51
54
59
42
67
61
58
49
65
59
81
62
60
64
59
66
58
44
55
51
60
48
135
145
86
55
47
44
111
43
55
50
54
41
41
44
34
55
42
39
74
104
44
52
78
50
60
50
57
47
57
43
46
40
60
42
42
38
41
88
39
39
69
48
61
42
48
45
50
44
52
38
49
53
48
46
45
47
41
65
52
37
46
52
47
29
30
41
132
44
52
47
41
56
41
43
39
34
91
47
50
40
70
52
58
34
39
35
61
42
58
50
38
23
45
103
38
46
63
40
30
22
48
32
32
35
58
29
40
37
44
46
39
36
40
41
73
43
27
34
39
30
38
37
35
41
25
40
35
36
30
35
42
62
65
40
28
38
26
46
39
46
31
49
35
49
40
40
35
54
33
37
35
33
48
28
40
61
44
63
39
81
37
27
39
32
35
33
29
43
29
31
25
31
40
38
27
64
31
25
61
93
32
30
21
28
71
25
31
34
23
33
28
25
37
31
37
39
29
39
31
22
29
29
24
28
20
26
31
37
61
26
23
31
36
28
47
56
25
27
20
22
26
76
53
31
39
44
98
54
20
26
54
31
20
19
41
44
35
27
20
33
37
60
19
81
27
28
30
42
19
25
21
23
26
24
44
23
27
38
20
22
43
21
23
15
21
22
19
30
20
49
24
23
26
18
24
32
26
133
32
93
29
26
31
37
92
31
29
26
23
71
23
34
20
41
29
37
39
22
18
13
17
26
31
150
33
21
34
22
20
21
67
57
21
24
32
20
24
19
19
26
15
28
32
29
21
23
20
22
27
25
19
17
16
18
13
21
25
27
17
33
19
32
30
55
21
19
39
24
53
67
21
26
95
23
29
15
33
87
67
26
16
26
41
18
45
20
16
12
22
14
15
23
17
13
16
13
18
67
15
33
18
21
19
23
23
25
19
19
35
16
25
60
86
15
71
86
132
44
16
25
18
25
43
26
49
26
22
19
24
23
39
33
39
60
10
19
70
35
11
21
30
18
22
46
11
15
25
51
56
22
19
24
11
14
23
24
51
28
21
9
17
31
24
37
37
62
21
27
10
19
46
58
17
32
46
90
24
16
19
27
21
18
14
17
48
12
15
16
33
26
21
29
20
15
20
31
14
22
24
59
20
35
36
24
18
12
18
30
11
21
18
19
17
21
23
16
15
19
49
24
18
14
47
21
13
19
16
11
36
25
57
29
13
13
18
63
49
22
20
10
49
22
20
14
16
18
32
21
18
15
19
10
18
17
12
51
19
14
12
36
19
96
14
12
38
16
101
15
14
30
15
14
15
13
14
40
12
51
14
46
70
8
58
40
15
36
16
17
15
21
15
67
17
52
19
9
28
72
13
11
22
24
124
11
29
14
22
11
18
43
11
17
16
12
13
13
15
34
10
16
65
11
32
11
19
15
21
14
28
18
27
8
19
13
13
16
21
17
13
14
15
41
34
17
16
7
8
14
47
14
15
13
23
11
17
15
26
32
14
18
27
28
14
13
12
37
22
40
12
46
10
14
21
9
10
38
50
13
15
46
11
7
19
19
11
25
35
8
15
13
11
9
13
28
26
14
11
25
12
41
38
11
17
11
15
20
4
16
21
15
6
9
6
14
7
13
14
79
36
7
26
9
11
21
10
15
14
8
11
10
17
11
11
25
12
8
67
15
12
21
8
12
7
17
7
26
15
17
37
5
14
23
10
21
9
11
8
18
6
10
13
7
12
47
35
9
11
17
11
13
20
10
29
25
38
11
10
12
38
13
10
13
23
13
38
10
12
12
8
20
13
26
17
13
11
11
9
14
34
21
7
28
8
9
8
13
11
20
12
10
27
6
