Inn
329
287
280
286
291
233
232
280
252
265
260
214
213
215
205
215
189
200
225
191
198
184
180
182
235
204
181
193
160
209
212
205
182
188
185
156
186
175
202
190
164
176
140
182
188
141
189
130
173
151
153
178
80
188
138
185
131
179
176
137
159
137
137
147
154
137
155
146
146
154
143
131
154
171
173
124
147
151
137
206
156
145
132
131
102
125
136
148
131
184
123
132
161
127
155
124
123
144
111
112
120
137
139
84
115
131
106
174
122
102
81
124
124
138
109
109
149
113
182
109
112
131
115
112
129
99
104
116
105
123
91
123
105
106
127
97
105
87
100
130
93
121
126
106
74
110
156
109
111
104
104
105
100
150
89
94
106
88
93
99
86
79
83
98
112
80
123
114
108
89
114
112
115
104
92
98
96
112
94
78
92
78
91
89
199
199
134
91
83
78
162
69
97
99
90
78
73
83
62
87
76
74
126
147
77
93
128
84
109
93
94
83
92
80
83
71
104
69
82
65
65
124
70
62
104
91
119
76
79
68
92
74
85
71
86
92
83
87
80
89
74
112
89
66
79
80
83
54
57
78
173
70
78
79
66
99
70
79
63
64
133
72
86
77
96
92
98
58
77
54
91
68
100
78
68
41
83
145
76
82
97
71
52
40
86
56
53
55
83
48
73
71
72
74
74
64
68
72
109
72
46
56
71
49
68
61
68
71
48
76
63
60
55
60
73
96
107
70
49
62
50
68
68
77
58
78
61
69
62
69
60
86
62
52
64
53
69
56
64
90
69
88
65
107
61
42
76
60
65
59
48
76
55
56
47
58
80
62
48
96
47
47
88
144
58
53
39
45
104
44
55
60
38
56
52
46
66
52
59
65
49
58
53
35
47
48
43
54
31
49
56
52
84
43
42
58
63
45
77
84
49
48
31
36
41
90
76
56
66
68
145
80
37
42
81
54
33
37
67
84
68
45
32
50
57
76
37
112
50
49
58
64
31
48
40
40
42
43
61
40
46
63
34
40
62
37
41
29
41
33
31
49
36
64
44
40
44
33
48
59
48
164
55
119
46
45
53
50
127
45
55
41
43
93
36
51
38
73
50
66
52
34
29
21
26
50
52
211
53
36
53
33
32
35
94
83
40
34
53
33
46
31
36
44
29
50
51
40
33
37
35
36
50
45
37
21
27
34
19
35
47
48
31
63
34
44
50
72
32
32
62
45
70
77
39
42
122
46
53
24
51
120
92
46
30
47
60
32
66
28
30
19
42
20
26
41
32
22
32
25
34
85
29
54
34
38
37
39
35
38
35
34
50
32
39
89
104
30
90
116
185
68
29
38
33
41
65
42
78
36
35
37
42
41
51
45
57
76
18
34
90
52
19
34
50
32
37
68
19
29
47
67
90
37
36
43
21
23
37
40
65
47
36
13
31
51
34
56
60
95
32
39
18
33
73
86
33
57
66
128
41
30
33
41
37
33
24
27
66
24
28
30
50
46
30
38
34
24
38
46
23
38
36
93
33
62
67
38
33
21
30
48
18
36
28
30
32
37
42
30
26
35
71
39
31
27
62
33
25
31
29
18
67
33
76
50
22
22
31
86
63
29
27
17
84
30
34
27
29
32
45
33
30
26
33
15
27
30
20
71
